PLAYER_NAME,SEASON,USG_PCT,DEPENDENCE_SCORE,ASSISTED_FGM_PCT,OPEN_SHOT_FREQUENCY,SELF_CREATED_USAGE_RATIO,DEPENDENCE_CATEGORY
Zion Williamson,2020-21,0.287,0.3987174369747899,0.45329670329670335,0.0435294117647058,0.1913461538461538,Moderate
Brandon Ingram,2020-21,0.279,0.38283575350265414,0.3846755277560594,0.093732667775929,0.2153635652853792,Moderate
Anthony Edwards,2020-21,0.264,0.40993923469885796,0.3895486935866984,0.1643835616438356,0.21365795724465556,Moderate
Dillon Brooks,2020-21,0.256,0.4648162241761021,0.4834503510531595,0.1903833658219623,0.18079237713139418,High
Devin Booker,2020-21,0.319,0.3892767247915087,0.3646702047005307,0.14,0.22236542835481424,Moderate
D'Angelo Russell,2020-21,0.283,0.4139638076061253,0.3780584056827151,0.1918866709594333,0.2176795580110497,Moderate
Victor Oladipo,2020-21,0.286,0.39936063326891097,0.3585780525502319,0.1772966647162083,0.22449768160741881,Moderate
Collin Sexton,2020-21,0.286,0.3633905295263218,0.33213515456506115,0.1113561190738699,0.23375269590222858,Moderate
Kyrie Irving,2020-21,0.297,0.34255104915857987,0.2729425695677916,0.1342615614122327,0.2544701006512729,Low
Kawhi Leonard,2020-21,0.282,0.36187903555913536,0.34562211981566826,0.0882521489971346,0.2290322580645161,Moderate
Josh Jackson,2020-21,0.254,0.48549158179172724,0.5490196078431373,0.1581272084805653,0.15784313725490193,High
Jordan Clarkson,2020-21,0.286,0.396243008090776,0.35882831570382423,0.1680405833861762,0.2244100895036615,Moderate
Zach LaVine,2020-21,0.302,0.3600177777081636,0.29910406616126806,0.1477272727272727,0.24531357684355617,Moderate
CJ McCollum,2020-21,0.265,0.3595912142208905,0.2782667569397427,0.175531914893617,0.25260663507109005,Moderate
Giannis Antetokounmpo,2020-21,0.32,0.4024640321543873,0.33224755700325737,0.2228381374722838,0.2337133550488599,Moderate
Jayson Tatum,2020-21,0.298,0.33101533874535305,0.2885431400282886,0.0795730228044638,0.24900990099009895,Low
Malcolm Brogdon,2020-21,0.257,0.40359966237520983,0.2759322033898305,0.3045220377790498,0.2534237288135593,Moderate
Jimmy Butler III,2020-21,0.259,0.3757727576575637,0.3675623800383877,0.0973888496824276,0.2213531669865643,Moderate
John Wall,2020-21,0.316,0.3537327783034838,0.23198061780738943,0.223263506063947,0.2688067837674137,Low
Donovan Mitchell,2020-21,0.327,0.3351806298589842,0.21320973348783323,0.1964025279533301,0.27537659327925834,Low
Isaiah Thomas,2020-21,0.274,0.5645208333333334,0.6116666666666667,0.2966666666666666,0.13591666666666666,High
Russell Westbrook,2020-21,0.295,0.3285700822948079,0.22112415071031488,0.1664915966386554,0.2726065472513898,Low
Caris LeVert,2020-21,0.279,0.3462696445671154,0.24390243902439024,0.1853348729792147,0.26463414634146337,Low
Damian Lillard,2020-21,0.306,0.3033097872662197,0.18828451882845187,0.1400602409638554,0.2841004184100418,Low
Ja Morant,2020-21,0.267,0.3592279988376815,0.24898949070331444,0.2152732060566162,0.26285367825383993,Moderate
Kemba Walker,2020-21,0.256,0.3468934103580169,0.24442675159235672,0.1863867684478371,0.2644506369426751,Low
DeMar DeRozan,2020-21,0.255,0.2783843085106382,0.19999999999999996,0.0525265957446808,0.27999999999999997,Low
Derrick Rose,2020-21,0.252,0.3039666114790287,0.24145299145299148,0.0678807947019867,0.26549145299145294,Low
Luka Dončić,2020-21,0.35,0.2602582292612503,0.1251415628539072,0.1050049067713444,0.30620045300113247,Low
Udonis Haslem,2020-21,0.286,0.65,1.0,0.0,0.0,High
De'Aaron Fox,2020-21,0.304,0.2675807323321178,0.12627551020408168,0.1243469174503657,0.3058035714285714,Low
Jordan Nwora,2020-21,0.254,,0.5362776025236593,,0.16230283911671922,
Trae Young,2020-21,0.32,0.3000003923784411,0.10744891232696108,0.2431972789115646,0.3123928806855636,Low
James Harden,2020-21,0.283,0.2384983735800817,0.10691375623663579,0.0682226211849192,0.31258018531717746,Low
Shai Gilgeous-Alexander,2020-21,0.283,0.2626282226073261,0.08952116585704362,0.1613904407200496,0.3186675919500347,Low
Anžejs Pasečņiks,2020-21,0.375,0.65,1.0,0.0,0.0,High
